row,col,state_id,action,action_name,next_row,next_col,next_state_id,label,next_label
0,0,0,0,up,0,0,0,safe,safe
0,0,0,1,down,1,0,6,safe,safe
0,0,0,2,left,0,0,0,safe,safe
0,0,0,3,right,0,1,1,safe,safe
0,1,1,0,up,0,1,1,safe,safe
0,1,1,1,down,0,1,1,safe,safe
0,1,1,2,left,0,0,0,safe,safe
0,1,1,3,right,0,2,2,safe,safe
0,2,2,0,up,0,2,2,safe,safe
0,2,2,1,down,0,2,2,safe,safe
0,2,2,2,left,0,1,1,safe,safe
0,2,2,3,right,0,3,3,safe,safe
0,3,3,0,up,0,3,3,safe,safe
0,3,3,1,down,1,3,9,safe,safe
0,3,3,2,left,0,2,2,safe,safe
0,3,3,3,right,0,4,4,safe,safe
0,4,4,0,up,0,4,4,safe,safe
0,4,4,1,down,1,4,10,safe,danger
0,4,4,2,left,0,3,3,safe,safe
0,4,4,3,right,0,5,5,safe,safe
0,5,5,0,up,0,5,5,safe,safe
0,5,5,1,down,1,5,11,safe,safe
0,5,5,2,left,0,4,4,safe,safe
0,5,5,3,right,0,5,5,safe,safe
1,0,6,0,up,0,0,0,safe,safe
1,0,6,1,down,2,0,12,safe,safe
1,0,6,2,left,1,0,6,safe,safe
1,0,6,3,right,1,0,6,safe,safe
1,3,9,0,up,0,3,3,safe,safe
1,3,9,1,down,2,3,15,safe,safe
1,3,9,2,left,1,3,9,safe,safe
1,3,9,3,right,1,4,10,safe,danger
1,4,10,0,up,0,4,4,danger,safe
1,4,10,1,down,2,4,16,danger,danger
1,4,10,2,left,1,3,9,danger,safe
1,4,10,3,right,1,5,11,danger,safe
1,5,11,0,up,0,5,5,safe,safe
1,5,11,1,down,2,5,17,safe,safe
1,5,11,2,left,1,4,10,safe,danger
1,5,11,3,right,1,5,11,safe,safe
2,0,12,0,up,1,0,6,safe,safe
2,0,12,1,down,3,0,18,safe,safe
2,0,12,2,left,2,0,12,safe,safe
2,0,12,3,right,2,1,13,safe,safe
2,1,13,0,up,2,1,13,safe,safe
2,1,13,1,down,2,1,13,safe,safe
2,1,13,2,left,2,0,12,safe,safe
2,1,13,3,right,2,2,14,safe,safe
2,2,14,0,up,2,2,14,safe,safe
2,2,14,1,down,3,2,20,safe,safe
2,2,14,2,left,2,1,13,safe,safe
